INDEX,DATE,TIME,SECONDS_SINCE_MIDNIGHT,TRIP_ID,DIR,SPEED,LAT,LONG,ALT,EXITS,ENTRANCES
2810,10/25/2010,11:15:33,40533,6,N,36.103378,41.372129,-73.963891,16.474222,0,0
2811,10/25/2010,11:15:38,40538,6,N,38.901257,41.372612,-73.963815,18.091722,0,0
2812,10/25/2010,11:15:42,40542,6,N,39.103729,41.373099,-73.963706,17.519852,0,0
2813,10/25/2010,11:15:48,40548,6,N,39.209518,41.373574,-73.963574,18.711908,0,0
2814,10/25/2010,11:15:53,40553,6,N,44.336075,41.374058,-73.963408,18.720177,0,0
2815,10/25/2010,11:15:58,40558,6,N,40.506565,41.374585,-73.963242,19.536779,0,0
2816,10/25/2010,11:16:03,40563,6,N,38.917107,41.375063,-73.963087,19.102657,0,0
2817,10/25/2010,11:16:08,40568,6,N,38.316784,41.375524,-73.962905,19.755047,0,0
2818,10/25/2010,11:16:13,40573,6,N,39.787205,41.375994,-73.962724,20.124937,0,0
2819,10/25/2010,11:16:18,40578,6,N,24.900555,41.376369,-73.962502,20.617199,0,0
2820,10/25/2010,11:16:23,40583,6,N,6.949003,41.376525,-73.962409,21.22328,0,0
2821,10/25/2010,11:16:28,40588,6,N,2.827309,41.376579,-73.962377,21.738749,1,0
2822,10/25/2010,11:16:33,40593,6,N,0.162908,41.376584,-73.962395,21.187349,0,0
2823,10/25/2010,11:16:38,40598,6,N,1.109033,41.376586,-73.962395,21.280069,0,1
2824,10/25/2010,11:16:43,40603,6,N,10.563244,41.376664,-73.962373,21.871326,3,0
2825,10/25/2010,11:16:48,40608,6,N,16.679195,41.376829,-73.96236,23.261595,1,0
2826,10/25/2010,11:16:53,40613,6,N,21.586578,41.377076,-73.962269,22.277489,0,0
2827,10/25/2010,11:16:58,40618,6,N,25.627071,41.377323,-73.962003,20.572948,0,0
2828,10/25/2010,11:17:03,40623,6,N,24.052547,41.377533,-73.961684,20.740351,0,0
2829,10/25/2010,11:17:08,40628,6,N,23.878719,41.377716,-73.961377,20.937698,0,0
2830,10/25/2010,11:17:13,40633,6,N,23.902681,41.377895,-73.961048,20.794554,0,0
2831,10/25/2010,11:17:18,40638,6,N,23.038872,41.378086,-73.960735,22.209028,0,0
2832,10/25/2010,11:17:23,40643,6,N,15.484045,41.378262,-73.960509,22.426003,0,0
2833,10/25/2010,11:17:27,40647,6,N,8.667949,41.378373,-73.960426,21.978584,0,0
2834,10/25/2010,11:17:33,40653,6,N,2.101619,41.378443,-73.960387,21.970793,0,0
2835,10/25/2010,11:17:38,40658,6,N,0.074534,41.378445,-73.960391,22.303078,0,0
2836,10/25/2010,11:17:42,40662,6,N,2.885145,41.378448,-73.96039,22.293135,2,1
2837,10/25/2010,11:18:13,40693,6,N,0.037814,41.378468,-73.960384,21.874863,0,0
2838,10/25/2010,11:18:18,40698,6,N,4.093297,41.378472,-73.960382,21.942383,0,0
2839,10/25/2010,11:18:23,40703,6,N,4.317493,41.378533,-73.960343,22.467916,0,0
2840,10/25/2010,11:18:28,40708,6,N,2.047922,41.378577,-73.960347,22.327154,0,0
2841,10/25/2010,11:18:33,40713,6,N,2.128088,41.378607,-73.960336,20.677773,0,0
2842,10/25/2010,11:18:38,40718,6,N,1.850047,41.378618,-73.960335,21.976849,0,0
2843,10/25/2010,11:18:43,40723,6,N,3.173018,41.378651,-73.960334,22.38566,0,0
2844,10/25/2010,11:18:48,40728,6,N,8.636463,41.37872,-73.96032,21.091982,0,0
